psc,rod_cislo,meno,priezvisko,cislo_obcianskeho,ulica,id_osoby
05333,900102/1488,Pankrac,Masarik,AE153175,Zavadka,53
07683,761117/5952,Bohdan,Durkovsky,DL051031,Svatuse,54
05361,026003/8950,Zofia,Kotlebova,PE488622,Spisske Vlachy,55
90044,861015/1065,Lubos,Krejca,ZK547482,Tomasov,56
01356,996203/1275,Luboslava,Hanakova,IE776032,Hvozdnica,57
07201,730625/8481,Rastislav,Murgas,OC741033,Samudovce,58
01354,010810/6980,Zigmund,Menhart,SW705868,Babise,59
07801,860628/6413,Alfred,Klepac,KL310134,Zbehnov,60
04481,805121/4788,Tamara,Jakoubekova,EW185307,Velka Lodina,61
97405,836219/3183,Bozidara,Bruskova,ZI208070,Rakytovce,62
07605,725403/6105,Milota,Marcinekova,TZ734511,Zemplinske Jastrabie,63
07234,855703/3517,Natalia,Murinova,KY417553,Velke Zaluzice,64
04911,800822/7629,Florian,Kovalcik,WW715582,Vidova,65
01342,005527/4064,Brigita,Ftacnikova,XW888170,Horny Hricov,66
02744,825602/3142,Zoja,Dekovasova,FZ383688,Horny Stefanov,67
05363,010810/6980,David,Jurco,RN620564,Vitkovce,68
07242,991008/7849,Valer,Fasiang,MF555511,Ubrez,69
05001,005624/3625,Amalia,Markoviczova,PB100274,Revucka,70
07652,790921/7893,Luboslav,Jonata,RJ864053,Velky Hores,71
07682,706121/7578,Vlasta,Galova,FH015627,Velka Trna,72
05361,855925/8238,Jana,Dudovova,CU164463,Zehra,73
04018,845613/5869,Laura,Filipova,WR258342,Vysna Hutka,74
04971,841028/1974,Vit,Hank,XX113806,Stratena,75
07261,760131/4731,Vaclav,Michalech,ZV733763,Vojnatina,76
07652,835913/5820,Zdenka,Duskova,GS416702,Strazne,77
01352,796018/7782,Amalia,Durisova,IL236645,Jablonove,78
96001,860308/2980,Pavol,Klaus,QJ713058,Motova,79
07101,861015/1065,Lubomir,Karpaty,HM640767,Zabany,80
90875,991126/6993,Marian,Borovszky,VZ511877,Studienka,81
07637,701231/7930,Bernard,Mihalik,LT270641,Svinice,82
98531,885619/1683,Justina,Jurcova,BE341232,Rapovce,83
04402,815416/3763,Sofia,Krejciova,LZ354187,Turna nad Bodvou,84
97401,931213/4802,Radomir,Marton,PZ115515,Molca,85
04402,931017/2975,Ctibor,Hagara,JT425252,Vcelare,86
98021,731003/4528,Gaspar,Blazej,GI154726,Rakytnik,87
04431,796010/4782,Maria,Mrazkova,NV577001,Teplicany,88
07632,815531/9930,Patricia,Kozakovova,SO850315,Velka Bara,89
04961,930704/8922,Fridrich,Dobsinsky,LW631461,Rakosska Bana,90
03221,946024/2089,Paulina,Hanzelova,JR578056,Jalovec,91
02732,981205/7797,Ctibor,Mrazik,AS040868,Huty,92
04431,885114/4094,Stefania,Kolnikova,CR118221,Teplicany,93
98262,955415/5613,Eugenia,Adamcova,NJ463074,Rasice,94
98601,870924/8980,Adolf,Cibulka,FC620641,Ratka,95
03401,940606/4618,Julius,Mikulik,JH626106,Klacno,96
07635,000120/1106,Pavol,Dibarbora,SZ465112,Vec,97
04413,900504/9359,Adrian,Bor,RE560732,Vsechsvatych,98
05361,950413/4828,Lubor,Madarasz,YR664751,Vojkovce,99
07661,970613/5805,Lukas,Medved,DO062542,Visnov,100
05361,870608/6531,Ambroz,Moric,WH802161,Zehra,101
07221,750810/2361,Svetozar,Klaus,KX064166,Vola,102
07255,851002/1169,Vratko,Kocko,YA113602,Svatus,103
07101,831121/5255,Robert,Melicherik,FT544503,Zabany,104
07601,030526/1673,Matus,Minac,PX053531,Zemplinske Hradiste,105
07231,715122/6965,Branislava,Beckova,JT213603,Vinne,106
07675,810317/9276,Silvester,Kolnik,YW626287,Velke Raskovce,107
98262,980503/7390,Oleg,Basa,JF227740,Rasice,108
05333,890920/7866,Ignac,Krejca,IC831257,Zahajnica,109
02753,765229/9591,Jaroslava,Mackova,CX311154,Istebne,110
07683,011231/8197,Vasil,Mucha,OM038514,Vojka,111
01004,720707/8427,Alexander,Madara,IG804082,Bitarova,112
02705,960921/8207,Blahoslav,Janos,FA861703,Havrania,113
04474,931225/2621,Ferdinand,Miklos,FR760236,Vysny Lanec,114
04425,011110/2835,Cyprian,Menhert,XS614773,Vysny Medzev,115
05201,735329/3606,Veronika,Melcerova,ZC355467,Teplicka,116
07661,790421/8699,Vincent,Dibarbora,KM747320,Visnov,117
05363,030105/5161,Oleg,Durovic,DQ627800,Trstany,118
04932,926016/8093,Anezka,Jenikova,KB185557,Stitnik,119
04971,890708/6548,Jergus,Bosak,MG663047,Stratena,120
01354,730930/1136,Jan,Hanak,CS535425,Babise,121
03101,725701/5476,Vieroslava,Knihova,KJ413827,Benusovce,122
04445,000314/5405,Kristof,Marta,JJ282282,Trstany,123
01341,820308/5819,Andrej,Dani,BU736006,Hrboltova,124
01341,845422/1511,Dominika,Frankova,BN401821,Hrboltova,125
04474,845929/7623,Magdalena,Docolomanskova,ZR730438,Vysny Lanec,126
90301,761124/6791,Vlastimil,Jakoubek,XH846088,Turen,127
07101,815319/3509,Terezia,Bielikova,UF676202,Zabany,128
04474,841220/1366,Ales,Jedlovsky,LS225057,Vysny Lanec,129
04912,030625/3428,Alexander,Hargas,OJ814003,Tiba,130
97697,766008/7696,Adela,Bosakova,LS677823,Nemecka,131
98267,985225/2056,Dobroslava,Czibulkova,RM271610,Ratkovska Sucha,132
97697,810615/5918,Hubert,Kroner,FH154475,Raztoka,133
98265,920920/8889,Jaromir,Bobula,RH005713,Repistia,134
04445,955718/2610,Ivana,Havranova,GZ335255,Zirovce,135
04412,011024/4849,Pankrac,Balog,YZ831045,Vysny Klatov,136
04474,810625/8554,Stanislav,Durica,WZ284041,Vysny Lanec,137
07664,781217/7425,Marek,Dej,KB748021,Zemplinska Teplica,138
02744,865521/1500,Nadezda,Klepsatelova,SZ775050,Horny Stefanov,139
03401,006128/5353,Libusa,Mackovicova,RA755665,Klacno,140
98557,775117/5697,Drahomira,Kaniakova,JR323110,Nitra nad Iplom,141
07642,875626/9183,Vilma,Minacova,XQ722622,Velke Trakany,142
04918,735526/6055,Alica,Mackova,DB054678,Revucka Lehota,143
04402,000111/2114,Vendelin,Kral,OV714547,Zadiel,144
03845,840609/1385,Radomir,Durko,AM074671,Ivancina,145
04413,740531/3984,Julia,Dorko,OY755345,Vsechsvatych,146
90301,880727/6395,Marian,Jakubec,XE052635,Turen,147
07616,035728/1133,Bohdana,Hanakova,EF756581,Zemplinsky Klecenov,148
98265,930829/4668,Vavrinec,Makovec,DG505753,Repistia,149
05351,776102/8011,Romana,Benova,BW143570,Stefanska Huta,150
01306,890730/3365,Milan,Kocko,HN841303,Horna Tizina,151
03842,826023/5486,Dana,Motovakova,LY082012,Benice,152
98542,865521/1500,Alojza,Dankova,AM155478,Nove Hony,153
04402,831114/4704,Kornel,Czibulka,LI030383,Vcelare,154
02952,010316/6529,Cyril,Balogh,OE058070,Babin,155
07683,870112/9178,Miloslav,Macko,FE848065,Svatuse,156
01314,965526/3586,Sona,Macova,XS761200,Kamenna Poruba,157
05201,730528/7698,Leonard,Mak,BE026443,Teplicka,158
90046,770504/1702,Leonard,Bernolak,UB386061,Studene,159
01305,975501/6335,Valentina,Mrazkova,GL105801,Bela,160
07234,761223/6791,Filip,Filip,NT128022,Velke Zaluzice,161
07234,805731/2738,Nadezda,Mrazkova,JQ388645,Velke Zaluzice,162
02952,760815/7712,Ferdinand,Dana,HT553824,Babin,163
02601,010505/7130,Radomir,Franek,QU560058,Jasenova,164
04018,735911/3555,Margareta,Markusova,JM564354,Vysna Hutka,165
98262,776006/6138,Karina,Markovicsova,JO275728,Rasice,166
02601,730825/2231,Bonifac,Jakab,XU028122,Benova Lehota,167
97669,955907/1413,Viera,Govaurkovicsova,GK158125,Nova Masa,168
03483,981001/8510,Marcel,Bakos,SY438452,Ivachnova,169
02732,795801/6143,Berta,Bednarova,JG578470,Huty,170
02713,745729/4222,Katarina,Dusekova,VX208023,Hladovka,171
07217,931223/3433,Arnold,Motycka,KG836035,Zemplinske Kopcany,172
04961,900917/9450,Vincent,Brusko,YE818463,Rakosska Bana,173
07601,750115/1454,Frantisek,Jurkovic,NQ178046,Zemplinske Hradiste,174
07301,701215/5264,Hugo,Frimer,EJ365206,Tibava,175
07632,825706/5092,Luboslava,Fabianova,GZ783226,Velka Bara,176
90046,820117/7468,Leopold,Krajicek,RO848536,Studene,177
07242,010114/6315,Bohumil,Keller,HB144085,Ubrez,178
92526,835716/8006,Gabriela,Kellerova,GW630426,Reca,179
03845,735213/4530,Elvira,Kotlebova,QC534516,Ivancina,180
04455,880119/9116,Matej,Bano,QY686064,Velka Ida,181
04445,785804/5340,Slavka,Borova,LI048566,Zirovce,182
07261,976215/5261,Eliska,Debnarova,BA110786,Vojnatina,183
01004,720731/1084,Zlatko,Danciak,AB788613,Bitarova,184
05333,775127/9051,Antonia,Moricova,DO220447,Ticha Voda,185
07683,750328/8787,Vasil,Danko,BD266544,Vojka,186
07675,005408/7794,Denisa,Mackova,BQ212451,Velke Raskovce,187
02713,841228/6166,Michal,Koza,HP131084,Hladovka,188
02601,935105/3511,Stela,Gocnikova,WX404547,Benova Lehota,189
07243,785311/8551,Elena,Madarova,SZ686134,Velke Revistia,190
04474,015306/7047,Olympia,Bekova,TX351822,Vysny Lanec,191
98601,945907/6834,Etela,Bekoova,VR340067,Ratka,192
02345,970513/4013,Frantisek,Fruhauf,YN047173,Horny Vadicov,193
96001,775629/6670,Xenia,Borisovova,UB453038,Motova,194
90064,021007/2768,Dusan,Kramar,UV315784,Suchohrad,195
04416,946011/9554,Nadezda,Bakosova,GN852726,Vysny Caj,196
97697,725218/9064,Dominika,Cernikova,DD440482,Raztoka,197
07682,855205/7156,Lea,Klimova,CO444078,Velka Trna,198
01314,850701/5486,Frantisek,Dana,JR232625,Kamenna Poruba,199
96801,861129/9739,Gustav,Bilek,QM053306,Nova Bana,200
03204,750923/3645,Edmund,Dostalek,JI610872,Benadikova,201
07253,715412/6250,Bohumila,Danova,DG288470,Zahor,202
07631,981124/1007,Oleg,Markus,AP214633,Vinicky,203
04481,851127/9688,Cyril,Durovic,IZ122307,Trebejov,204
01352,870728/9815,Gaspar,Bartos,SY503338,Jablonove,205
98558,810422/7992,Kristof,Krajcir,MY615617,Obrucna,206
07661,880730/8307,Kristof,Miller,IV240450,Stankovce,207
02952,911027/5215,Stanislav,Dano,RG776035,Babin,208
02601,960916/2679,Dobroslav,Jakub,BV426826,Benova Lehota,209
98545,865508/6557,Petronela,Matiaskova,CS461646,Novy Svet,210
04961,895625/8345,Luboslava,Karvasova,WX120115,Nandraz,211
07801,750520/9970,Jaromir,Gal,UH563844,Velke Ozorovce,212
05001,926216/4608,Iveta,Menhertova,MG705606,Revuca,213
07672,875713/1010,Stanislava,Durkova,ZV868071,Vojany,214
05351,840708/9251,Valentin,Dida,UN888762,Stefanska Huta,215
98541,015308/2428,Justina,Deakova,YA871602,Novy Sad,216
02713,915822/6047,Denisa,Mackovicova,LC826133,Hladovka,217
98542,815903/4158,Bohumila,Juroskova,YP341477,Nove Hony,218
97405,990319/6756,Ervin,Marcinek,EC477458,Rakytovce,219
02322,750222/7602,Mikulas,Kozakov,MI777448,Klokocov,220
07664,891209/5028,Kazimir,Cyprich,SN860713,Zemplinska Teplica,221
07222,715703/8110,Natasa,Jirekova,DZ784266,Strazske,222
07635,835314/2115,Silvia,Kotianova,ID228031,Vec,223
97401,960521/3340,Jan,Marta,UG111168,Riecka,224
03845,880920/1376,Drahomir,Mucha,UD641247,Ivancina,225
98265,780305/2071,Jergus,Beno,SZ150458,Repistia,226
96801,846206/9027,Jela,Banova,WC088037,Nova Bana,227
07642,876112/2818,Lujza,Morova,XI764428,Velke Trakany,228
02601,960211/3416,Ivan,Michalko,FS274123,Jasenova,229
02355,011024/4541,Maximilian,Krizik,BJ653281,Jedlovnik,230
07253,010208/3847,Ludovit,Hilmer,ZE830481,Zahor,231
90301,860512/6466,Radoslav,Dudka,FF367105,Turen,232
90301,760204/1346,Jergus,Mora,QY074121,Senec,233
07801,740510/2608,Eugen,Grna,HI265405,Velke Ozorovce,234
96801,896022/9215,Viktoria,Mistrikova,FO516054,Nova Bana,235
02705,945327/4451,Zita,Jakubcikova,FW227665,Havrania,236
97697,916208/4518,Dominika,Dancakova,SC101636,Nemecka,237
04425,715312/9718,Simona,Kiselova,ZA310443,Vysny Medzev,238
05571,795208/1714,Milena,Dorkova,DP666655,Zakarovce,239
07615,931009/2479,Gabriel,Kotzian,JQ420774,Velaty,240
03845,901015/7712,Jaromir,Janousek,PW751606,Ivancina,241
96801,851031/4074,Jozef,Gaspar,HZ768586,Nova Bana,242
02744,750714/6347,Bruno,Bora,ZW807528,Horny Stefanov,243
03221,000113/8117,Severin,Jakabovic,IW365111,Jalovec,244
03822,755215/2926,Malvina,Blazejova,BN528548,Kalamenova,245
03223,840818/3732,Ilja,Dudko,MY447424,Izipovce,246
07616,755728/2694,Drahoslava,Duskova,LE873860,Stanca,247
96001,930131/2210,Michal,Bobula,IY381831,Neresnica,248
07216,760226/4197,Severin,Bartos,BF401331,Vrbnica,249
04911,930926/3822,Adam,Dana,HY837550,Vidova,250
90081,711002/2270,Slavomir,Kozacek,LM287030,Senkvice,251
07664,795402/1655,Alojza,Janiova,YF313574,Zemplinska Teplica,252
02322,755728/2694,Milena,Mackova,FP144614,Klokocov,253
04421,006011/7070,Maria,Boruvkova,CW838607,Semsa,254
07661,885705/8491,Zita,Kockova,JI117762,Stankovce,255
07221,865517/6006,Gabriela,Dudkova,OB138338,Vola,256
97405,706123/4307,Sara,Anderleova,QV752210,Rakytovce,257
01305,840418/5671,Radoslav,Klima,YU373738,Bela,258
07213,870514/8290,Ludovit,David,TT726735,Zemplinska Siroka,259
07216,801107/7054,Radomir,Gallo,ZF076421,Vrbnica,260
03301,805630/8997,Kornelia,Kramarova,EE074021,Jamnik,261
04441,011024/4849,Valer,Dancak,LG816635,Zdoba,262
07616,965308/6459,Adela,Masarikova,JX240782,Stanca,263
07301,701106/5058,Kornel,Kozakov,OO142645,Tibava,264
07801,830629/3454,Daniel,Martinak,CQ125660,Zbehnov,265
04445,725407/2278,Renata,Mihalikova,YT475488,Zirovce,266
07204,011026/1679,Maros,Krajco,CX507083,Trhoviste,267
97401,740208/6467,Lubor,Dani,HO604060,Riecka,268
90081,865228/7222,Lucia,Banova,UW233652,Senkvice,269
07221,800611/2112,Drahoslav,Blaha,VW424577,Stankovce,270
90638,770311/6260,Bohus,Dani,WU155721,Rohoznik,271
07214,760130/7108,Marek,Maka,GV654614,Vysocky Dvor,272
05351,020722/6437,Servac,Bondra,BO001878,Stefanska Huta,273
07652,871027/2287,Albin,Fruhauf,DW471521,Velky Hores,274
03403,896008/1444,Lujza,Dudikova,QJ164778,Biely Potok,275
07605,800623/2345,Tichomir,Matiasko,CN738724,Zemplinske Jastrabie,276
03843,970430/7030,Roman,Mojzis,GC368261,Klastor pod Znievom,277
07901,875319/3224,Maria,Maczkova,US254227,Velke Kapusany,278
07615,720415/3146,Kristian,Fabian,IT140324,Velaty,279
98531,860305/5674,Sergej,Klimek,XZ625607,Rapovce,280
07231,000909/3561,Bohumil,Hanus,PZ672503,Trnava pri Laborci,281
07605,810312/8579,Bohuslav,Jancek,WK384177,Zemplinske Jastrabie,282
04431,891119/9105,Ignac,Gyurkovics,FM747430,Teplicany,283
01004,840913/2600,Karol,Janos,LX717187,Horky,284
05333,990705/4046,Cyril,Gazo,XK554475,Zahajnica,285
01401,781001/2671,Moric,Klokoc,ZN381435,Hrabove,286
05001,855623/4326,Ludmila,Banova,SJ557112,Muranska Zdychava,287
98265,010113/8440,Florian,Hanousek,TP735381,Repistia,288
90068,790904/2544,Michal,Borovszky,LI165426,Plavecky Stvrtok,289
01401,905417/8579,Valeria,Masnova,VZ030610,Benov,290
04426,960610/1415,Roland,Janoska,UR505423,Stos,291
02601,970520/2865,Koloman,Miklos,JK115316,Benova Lehota,292
07301,850326/1611,Kamil,Miklosko,KB565035,Tibava,293
07214,875729/2573,Perla,Mrazkova,YS566638,Tahyna,294
07602,711123/1269,Eugen,Borik,RS327100,Zemplinsky Branc,295
03822,835913/5820,Stefania,Czibulkova,PF016405,Kalamenova,296
01319,815903/4158,Valeria,Kotlebova,PV241473,Klace,297
07213,840905/2212,Zlatko,Mor,FK822888,Zemplinska Siroka,298
96223,035410/3638,Edita,Moriova,SL116215,Ocova,299
90638,740907/1529,Viktor,Dusek,RR484614,Rohoznik,300
03204,850528/4075,Imrich,Janecko,HF331315,Benadikova,301
01401,885921/4495,Vieroslava,Makova,IR383568,Hrabove,302
04421,736013/9258,Katarina,Kramarova,KJ203477,Semsa,303
07202,775821/1841,Ida,Jakabovicova,WE025711,Tusice,304
02302,720714/2136,Emil,Droppa,AE008042,Blazkov,305
97697,996116/6809,Dagmara,Masarova,AI884242,Nemecka,306
01306,760520/6963,Bohdan,Kendra,CN357646,Horna Tizina,307
98267,001129/4952,Zigmund,Anderle,KN786857,Ratkovska Sucha,308
98045,916105/2488,Bronislava,Hanzalova,FV060200,Neporadza,309
04924,795922/7905,Frantiska,Hanakova,RN422877,Vlachovo,310
98034,710614/2255,Roland,Galik,FN087026,Nova Basta,311
07635,845627/5477,Natasa,Kostrecova,NK760310,Vec,312
07615,841116/7448,Anton,Macek,UB055276,Velaty,313
07642,780227/1033,Adolf,Jano,BK258056,Velke Trakany,314
99105,835629/6277,Melania,Malinova,EE868871,Obeckov,315
07635,020403/9220,Alojz,Barbara,PN215330,Svata Maria,316
04431,736216/9894,Olympia,Frankova,QW811568,Teplicany,317
07675,956208/2912,Sabina,Hanuskova,VM567001,Velke Raskovce,318
90026,736201/3994,Perla,Matiaskova,NF825800,Slovensky Grob,319
07634,745903/4156,Edita,Jurinova,RA105854,Zemplin,320
07636,010602/5667,Benjamin,Bologna,XH847352,Velky Kamenec,321
90635,730222/7730,Izidor,Mojsej,KK773581,Plavecky Mikulas,322
07634,835925/5412,Milota,Madaraszova,DV884310,Zemplin,323
01311,936008/7688,Jolana,Jerkovicova,LD824566,Babkov,324
07801,870103/5126,Dalibor,Janik,CX422537,Trnavka,325
04445,005813/7603,Albina,Masnova,AL684104,Zirovce,326
04411,775310/6069,Darina,Augustova,FO335275,Trstene pri Hornade,327
07631,875417/8933,Karina,Kellerova,XA124221,Vinicky,328
07675,940904/8498,Mojmir,Kocura,CA647016,Velke Raskovce,329
98045,726116/6447,Anezka,Jurovcikova,EO334136,Riecka,330
07672,820410/2259,Henrich,Danko,RV738466,Vojany,331
02352,985427/1775,Otilia,Mrazkova,LH338578,Hruby Buk,332
01004,945907/6834,Cecilia,Dadova,NI084774,Banova,333
07631,995925/8766,Dominika,Junasova,IG686246,Streda nad Bodrogom,334
05333,995124/7322,Sara,Caplovicova,SA558027,Ticha Voda,335
98252,895406/7934,Natalia,Daniova,SQ772683,Nizna Kalosa,336
03403,751121/9511,Gaspar,Dancak,TT335640,Biely Potok,337
04416,866204/3384,Ruzena,Madejova,YQ847600,Vysny Caj,338
04018,725421/8546,Lucia,Beranova,PZ438237,Vysna Hutka,339
03403,865210/9382,Agnesa,Franekova,EA561784,Biely Potok,340
04932,855703/3517,Petra,Dorkova,IZ170746,Stitnik,341
04018,906002/6910,Denisa,Morova,FB662701,Vysna Hutka,342
04402,940203/9665,Imrich,Miklos,IT330827,Zadiel,343
07622,720813/2777,Valer,Maros,UE875846,Vojcice,344
96603,895611/9500,Bronislava,Cigerova,XK526747,Repiste,345
02354,866128/2769,Karolina,Macova,YC448316,Hlinene,346
07683,841111/5840,Demeter,Hagara,XK551056,Svatuse,347
98513,990419/4856,Ernest,Macha,WX705783,Nedeliste,348
03802,005209/7811,Rebeka,Martinkovicova,EC542057,Horne Jaseno,349
04441,786001/3062,Gizela,Dancsakova,DJ356357,Zdoba,350
04912,010805/1684,Ondrej,Makovicky,OS136121,Tiba,351
03843,905803/6751,Ela,Janecekova,YT173855,Klastor pod Znievom,352
02352,721031/8263,Luboslav,Kaniak,UT786466,Hruby Buk,353
01401,900317/9915,Koloman,Jano,VI432823,Hrabove,354
07616,030827/1642,Igor,Bednarik,BW031812,Upor,355
07236,761105/7395,Blazej,Koc,QE543223,Zemplinska Sirava,356
07682,825820/2240,Lubomira,Jurinova,OE376567,Velka Trna,357
98558,836003/2821,Sona,Bilkova,JG660736,Obrucna,358
02705,030110/9332,Benjamin,Danko,SO347857,Havrania,359
01319,835709/5331,Dana,Martova,OF226274,Klace,360
02354,710630/4516,Bohumir,Filipek,XK733411,Hlinene,361
05334,915514/7570,Jaroslava,Janova,PT460517,Stara Voda,362
07501,735323/2161,Petra,Jurcova,ZU444065,Velky Ruskov,363
98267,816120/2364,Sara,Droppova,AO038512,Ratkovska Sucha,364
07234,721010/8275,Eduard,Mor,YL373251,Velke Zaluzice,365
90044,005912/3643,Marianna,Bekoova,WA453156,Tomasov,366
07682,850605/8363,Kamil,Janos,LE408134,Velka Trna,367
98034,941029/1639,Richard,Maczo,KC802624,Nova Basta,368
02755,966005/2880,Marta,Banova,RP485613,Chlebnice,369
03223,035801/2201,Zora,Jurcova,UF887770,Hlinik,370
01401,931115/8790,Vitazoslav,Hanzel,BQ357875,Benov,371
90044,910220/2863,Zoltan,Madara,VL203517,Tomasov,372
07234,036002/5386,Ursula,Klopackova,TA483377,Zaluzice,373
03221,020714/7651,Bernard,Kocian,ZQ882040,Jalovec,374
03101,975608/5456,Marianna,Medvedova,IW643645,Andice,375
98553,856123/6229,Stefania,Janoskova,TV133815,Mytna,376
07635,846016/6238,Zofia,Almasiova,UV768654,Svata Maria,377
02345,711102/8625,Norbert,Capka,WJ228357,Horny Vadicov,378
90068,730406/1291,Kornel,Galik,UQ876266,Plavecky Stvrtok,379
03223,970830/7082,Alfonz,Janosko,RP675081,Hlinik,380
07801,785924/8426,Nikola,Durdikova,KY388386,Trnavka,381
98045,015427/4759,Estera,Danova,RV558884,Neporadza,382
07653,895606/2017,Otilia,Borikova,OA027456,Zatin,383
07243,905503/4855,Viera,Andrassova,PJ780471,Velke Revistia,384
97644,701111/2776,Bohdan,Juras,VF468080,Myto pod Dumbierom,385
03845,781114/8536,Rastislav,Kocak,VL622861,Ivancina,386
05333,710311/6491,Albert,Marecek,XT145340,Zahajnica,387
07214,960815/5966,Ludomil,Janosko,EY473634,Vysocky Dvor,388
07616,900210/3594,Norbert,Borovy,CR458370,Zemplinsky Klecenov,389
07635,855714/2381,Sara,Kazikova,SS173051,Svata Maria,390
03802,970813/9214,Valer,Borovy,WW076333,Horny Kalnik,391
98531,945110/1543,Jela,Daniova,XV381787,Rapovce,392
02354,895622/1985,Etela,Kaniakova,WO686066,Hlinene,393
01401,735630/5465,Dobroslava,Konradova,VL370160,Benov,394
05363,750116/1660,Daniel,Bakos,FS717500,Trstany,395
97401,755215/2926,Dagmara,Krajcova,XL806237,Riecka,396
07217,915510/1605,Bohuslava,Hanuskova,IQ218023,Zemplinske Kopcany,397
07223,900727/4267,Henrich,Bernardi,WS450548,Zbudza,398
98267,985602/2822,Tamara,Borikova,IS404172,Ratkovska Sucha,399
98021,860731/4609,Bohumil,Gyurovszky,PS302113,Rakytnik,400
07635,900729/7669,Leopold,Mraz,RL316088,Vec,401
03301,945420/5121,Zita,Finkova,MS133733,Jamnik,402
90046,855118/8350,Viktoria,Didova,RU057676,Studene,403
04416,725920/3230,Albina,Borova,ZS042240,Vysny Caj,404
04445,811023/2853,Alexej,Ftorek,ON772367,Trstany,405
03204,000706/3584,Jaroslav,Beno,ZH632745,Benadikova,406
98265,826023/5486,Lucia,Janockova,EJ062474,Repistia,407
03403,786005/2646,Erika,Kopova,OQ266320,Biely Potok,408
98262,020804/6139,Frantisek,Babka,ME612155,Rasice,409
07217,785514/7576,Angela,Markovitsova,EW882170,Zemplinske Kopcany,410
02732,765130/4297,Romana,Kazikova,VU506365,Huty,411
01314,985417/5664,Berta,Kozova,TG842668,Kamenna Poruba,412
05333,765228/2327,Olympia,Basekova,BV446104,Ticha Voda,413
02322,960627/6161,Rudolf,Mark,TE267503,Javorova,414
02322,780427/4001,Moric,Boro,IO071800,Hlavice,415
03842,930830/7770,Bruno,Garin,RG545220,Benice,416
